n00004475	organism, being
n03144873	cubitiere
n03144982	cucking stool, ducking stool
n03145147	cuckoo clock
n03145277	cuddy
n03145384	cudgel
n03145522	cue, cue stick, pool cue, pool stick
n03145719	cue ball
n03145843	cuff, turnup
n03146219	cuirass
n03146342	cuisse
n03146449	cul, cul de sac, dead end
n03146560	culdoscope
n03146687	cullis
n03146777	culotte
n03146846	cultivator, tiller
n03147084	culverin
n03147156	culverin
n03147280	culvert
n03147509	cup
n03148324	cupboard, closet
n03148518	cup hook
n03148727	cupola
n03148808	cupola
n03149135	curb, curb bit
n03149401	curb roof
n03149686	curbstone, kerbstone
n03149810	curette, curet
n03150232	curler, hair curler, roller, crimper
n03150511	curling iron
n03150661	currycomb
n03150795	cursor, pointer
n03151077	curtain, drape, drapery, mantle, pall
n03152303	customhouse, customshouse
n03152951	cutaway, cutaway drawing, cutaway model
n03153246	cutlas, cutlass
n03153585	cutoff
n03153948	cutout
n03154073	cutter, cutlery, cutting tool
n03154316	cutter
n03154446	cutting implement
n03154616	cutting room
n03154745	cutty stool
n03154895	cutwork
n03155178	cybercafe
n03155502	cyclopean masonry
n03155915	cyclostyle
n03156071	cyclotron
n03156279	cylinder
n03156405	cylinder, piston chamber
n03156767	cylinder lock
n03157348	cymbal
n03158186	dacha
n03158414	Dacron, Terylene
n03158668	dado
n03158796	dado plane
n03158885	dagger, sticker
n03159535	dairy, dairy farm
n03159640	dais, podium, pulpit, rostrum, ambo, stump, soapbox
n03160001	daisy print wheel, daisy wheel
n03160186	daisywheel printer
n03160309	dam, dike, dyke
n03160740	damask
n03161016	dampener, moistener
n03161450	damper, muffler
n03161893	damper block, piano damper
n03162297	dark lantern, bull's-eye
n03162460	darkroom
n03162556	darning needle, embroidery needle
n03162714	dart
n03162818	dart
n03163222	dashboard, fascia
n03163381	dashiki, daishiki
n03163488	dash-pot
n03163798	data converter
n03163973	data input device, input device
n03164192	data multiplexer
n03164344	data system, information system
n03164605	davenport
n03164722	davenport
n03164929	davit
n03165096	daybed, divan bed
n03165211	daybook, ledger
n03165466	day nursery, day care center
n03165616	day school
n03165823	dead axle
n03165955	deadeye
n03166120	deadhead
n03166514	deanery
n03166600	deathbed
n03166685	death camp
n03166809	death house, death row
n03166951	death knell, death bell
n03167153	death seat
n03167978	deck
n03168107	deck
n03168217	deck chair, beach chair
n03168543	deck-house
n03168663	deckle
n03168774	deckle edge, deckle
n03168933	declinometer, transit declinometer
n03169063	decoder
n03169176	decolletage
n03170292	decoupage
n03170459	dedicated file server
n03170635	deep-freeze, Deepfreeze, deep freezer, freezer
n03170872	deerstalker
n03171228	defense system, defence system
n03171356	defensive structure, defense, defence
n03171635	defibrillator
n03171910	defilade
n03172038	deflector
n03172738	delayed action
n03172965	delay line
n03173270	delft
n03173387	delicatessen, deli, food shop
n03173929	delivery truck, delivery van, panel truck
n03174079	delta wing
n03174450	demijohn
n03174731	demitasse
n03175081	den
n03175189	denim, dungaree, jean
n03175301	densimeter, densitometer
n03175457	densitometer
n03175604	dental appliance
n03175843	dental floss, floss
n03175983	dental implant
n03176238	dentist's drill, burr drill
n03176386	denture, dental plate, plate
n03176594	deodorant, deodourant
n03176763	department store, emporium
n03177059	departure lounge
n03177165	depilatory, depilator, epilator
n03177708	depressor
n03178000	depth finder
n03178173	depth gauge, depth gage
n03178430	derrick
n03178538	derrick
n03178674	derringer
n03179701	desk
n03179910	desk phone
n03180011	desktop computer
n03180384	dessert spoon
n03180504	destroyer, guided missile destroyer
n03180732	destroyer escort
n03180865	detached house, single dwelling
n03180969	detector, sensor, sensing element
n03181293	detector
n03181667	detention home, detention house, house of detention, detention camp
n03182140	detonating fuse
n03182232	detonator, detonating device, cap
n03182912	developer
n03183080	device
n03185868	Dewar flask, Dewar
n03186199	dhoti
n03186285	dhow
n03186818	dial, telephone dial
n03187037	dial
n03187153	dial
n03187268	dialog box, panel
n03187595	dial telephone, dial phone
n03187751	dialyzer, dialysis machine
n03188290	diamante
n03188531	diaper, nappy, napkin
n03188725	diaper
n03188871	diaphone
n03189083	diaphragm, stop
n03189311	diaphragm
n03189818	diathermy machine
n03190458	dibble, dibber
n03191286	dice cup, dice box
n03191451	dicer
n03191561	dickey, dickie, dicky, shirtfront
n03191776	dickey, dickie, dicky, dickey-seat, dickie-seat, dicky-seat
n03192543	Dictaphone
n03192907	die
n03193107	diesel, diesel engine, diesel motor
n03193260	diesel-electric locomotive, diesel-electric
n03193423	diesel-hydraulic locomotive, diesel-hydraulic
n03193597	diesel locomotive
n03193754	diestock
n03194170	differential analyzer
n03194297	differential gear, differential
n03194812	diffuser, diffusor
n03194992	diffuser, diffusor
n03195332	digester
n03195485	diggings, digs, domiciliation, lodgings, pad
n03195799	digital-analog converter, digital-to-analog converter
n03195959	digital audiotape, DAT
n03196062	digital camera
n03196217	digital clock
n03196324	digital computer
n03196598	digital display, alphanumeric display
n03196990	digital subscriber line, DSL
n03197201	digital voltmeter
n03197337	digital watch
n03197446	digitizer, digitiser, analog-digital converter, analog-to-digital converter
n03198223	dilator, dilater
n03198500	dildo
n03199358	dimity
n03199488	dimmer
n03199647	diner
n03199775	dinette
n03199901	dinghy, dory, rowboat
n03200231	dining area
n03200357	dining car, diner, dining compartment, buffet car
n03200539	dining-hall
n03200701	dining room, dining-room
n03200906	dining-room furniture
n03201035	dining-room table
n03201208	dining table, board
n03201529	dinner bell
n03201638	dinner dress, dinner gown, formal, evening gown
n03201776	dinner jacket, tux, tuxedo, black tie
n03201895	dinner napkin
n03201996	dinner pail, dinner bucket
n03202354	dinner table
n03202481	dinner theater, dinner theatre
n03202760	diode, semiconductor diode, junction rectifier, crystal rectifier
n03202940	diode, rectifying tube, rectifying valve
n03203089	dip
n03203806	diplomatic building
n03204134	dipole, dipole antenna
n03204306	dipper
n03204436	dipstick
n03204558	DIP switch, dual inline package switch
n03204955	directional antenna
n03205143	directional microphone
n03205304	direction finder
n03205458	dirk
n03205574	dirndl
n03205669	dirndl
n03205903	dirty bomb
n03206023	discharge lamp
n03206158	discharge pipe
n03206282	disco, discotheque
n03206405	discount house, discount store, discounter, wholesale house
n03206602	discus, saucer
n03206718	disguise
n03206908	dish
n03207305	dish, dish aerial, dish antenna, saucer
n03207548	dishpan
n03207630	dish rack
n03207743	dishrag, dishcloth
n03207835	dishtowel, dish towel, tea towel
n03207941	dishwasher, dish washer, dishwashing machine
n03208556	disk, disc
n03208938	disk brake, disc brake
n03209359	disk clutch
n03209477	disk controller
n03209666	disk drive, disc drive, hard drive, Winchester drive
n03209910	diskette, floppy, floppy disk
n03210245	disk harrow, disc harrow
n03210372	dispatch case, dispatch box
n03210552	dispensary
n03210683	dispenser
n03211117	display, video display
n03211413	display adapter, display adaptor
n03211616	display panel, display board, board
n03211789	display window, shop window, shopwindow, show window
n03212114	disposal, electric pig, garbage disposal
n03212247	disrupting explosive, bursting explosive
n03212406	distaff
n03212811	distillery, still
n03213014	distributor, distributer, electrical distributor
n03213361	distributor cam
n03213538	distributor cap
n03213715	distributor housing
n03213826	distributor point, breaker point, point
n03214253	ditch
n03214450	ditch spade, long-handled spade
n03214582	ditty bag
n03214966	divan
n03215076	divan, diwan
n03215191	dive bomber
n03215337	diverging lens, concave lens
n03215508	divided highway, dual carriageway
n03215749	divider
n03215930	diving bell
n03216199	divining rod, dowser, dowsing rod, waterfinder, water finder
n03216402	diving suit, diving dress
n03216562	dixie
n03216710	Dixie cup, paper cup
n03216828	dock, dockage, docking facility
n03217653	doeskin
n03217739	dogcart
n03217889	doggie bag, doggy bag
n03218198	dogsled, dog sled, dog sleigh
n03218446	dog wrench
n03219010	doily, doyley, doyly
n03219135	doll, dolly
n03219483	dollhouse, doll's house
n03219612	dolly
n03219859	dolman
n03219966	dolman, dolman jacket
n03220095	dolman sleeve
n03220237	dolmen, cromlech, portal tomb
n03220513	dome
n03220692	dome, domed stadium, covered stadium
n03221059	domino, half mask, eye mask
n03221351	dongle
n03221540	donkey jacket
n03221720	door
n03222176	door
n03222318	door
n03222516	doorbell, bell, buzzer
n03222722	doorframe, doorcase
n03222857	doorjamb, doorpost
n03223162	doorlock
n03223299	doormat, welcome mat
n03223441	doornail
n03223553	doorplate
n03223686	doorsill, doorstep, threshold
n03223923	doorstop, doorstopper
n03224490	Doppler radar
n03224603	dormer, dormer window
n03224753	dormer window
n03224893	dormitory, dorm, residence hall, hall, student residence
n03225108	dormitory, dormitory room, dorm room
n03225458	dosemeter, dosimeter
n03225616	dossal, dossel
n03225777	dot matrix printer, matrix printer, dot printer
n03225988	double bed
n03226090	double-bitted ax, double-bitted axe, Western ax, Western axe
n03226254	double boiler, double saucepan
n03226375	double-breasted jacket
n03226538	double-breasted suit
n03226880	double door
n03227010	double glazing
n03227184	double-hung window
n03227317	double knit
n03227721	doubler
n03227856	double reed
n03228016	double-reed instrument, double reed
n03228254	doublet
n03228365	doubletree
n03228533	douche, douche bag
n03228692	dovecote, columbarium, columbary
n03228796	Dover's powder
n03228967	dovetail, dovetail joint
n03229115	dovetail plane
n03229244	dowel, dowel pin, joggle
n03229526	downstage
n03231160	drafting instrument
n03231368	drafting table, drawing table
n03231819	Dragunov
n03232309	drainage ditch
n03232417	drainage system
n03232543	drain basket
n03232815	drainplug
n03232923	drape
n03233123	drapery
n03233624	drawbar
n03233744	drawbridge, lift bridge
n03233905	drawer
n03234164	drawers, underdrawers, shorts, boxers, boxershorts
n03234952	drawing chalk
n03235042	drawing room, withdrawing room
n03235180	drawing room
n03235327	drawknife, drawshave
n03235796	drawstring bag
n03235979	dray, camion
n03236093	dreadnought, dreadnaught
n03236217	dredge
n03236423	dredger
n03236580	dredging bucket
n03236735	dress, frock
n03237212	dress blues, dress whites
n03237340	dresser
n03237416	dress hat, high hat, opera hat, silk hat, stovepipe, top hat, topper, beaver
n03237639	dressing, medical dressing
n03237839	dressing case
n03237992	dressing gown, robe-de-chambre, lounging robe
n03238131	dressing room
n03238286	dressing sack, dressing sacque
n03238586	dressing table, dresser, vanity, toilet table
n03238762	dress rack
n03238879	dress shirt, evening shirt
n03239054	dress suit, full dress, tailcoat, tail coat, tails, white tie, white tie and tails
n03239259	dress uniform
n03239607	drift net
n03239726	drill
n03240140	electric drill
n03240683	drilling platform, offshore rig
n03240892	drill press
n03241093	drill rig, drilling rig, oilrig, oil rig
n03241335	drinking fountain, water fountain, bubbler
n03241496	drinking vessel
n03241903	drip loop
n03242120	drip mat
n03242264	drip pan
n03242390	dripping pan, drip pan
n03242506	drip pot
n03242995	drive
n03243218	drive
n03243625	drive line, drive line system
n03244047	driver, number one wood
n03244231	driveshaft
n03244388	driveway, drive, private road
n03244775	driving iron, one iron
n03244919	driving wheel
n03245271	drogue, drogue chute, drogue parachute
n03245421	drogue parachute
n03245724	drone, drone pipe, bourdon
n03245889	drone, pilotless aircraft, radio-controlled aircraft
n03246197	drop arch
n03246312	drop cloth
n03246454	drop curtain, drop cloth, drop
n03246653	drop forge, drop hammer, drop press
n03246933	drop-leaf table
n03247083	dropper, eye dropper
n03247351	droshky, drosky
n03247495	drove, drove chisel
n03248835	drugget
n03249342	drugstore, apothecary's shop, chemist's, chemist's shop, pharmacy
n03249569	drum, membranophone, tympan
n03249956	drum, metal drum
n03250089	drum brake
n03250279	drumhead, head
n03250405	drum printer
n03250588	drum sander, electric sander, sander, smoother
n03250847	drumstick
n03250952	dry battery
n03251100	dry-bulb thermometer
n03251280	dry cell
n03251533	dry dock, drydock, graving dock
n03251766	dryer, drier
n03251932	dry fly
n03252231	dry kiln
n03252324	dry masonry
n03252422	dry point
n03252637	dry wall, dry-stone wall
n03252787	dual scan display
n03253071	duck
n03253187	duckboard
n03253279	duckpin
n03253714	dudeen
n03253796	duffel, duffle
n03253886	duffel bag, duffle bag, duffel, duffle
n03254046	duffel coat, duffle coat
n03254189	dugout
n03254374	dugout canoe, dugout, pirogue
n03254625	dulciana
n03254737	dulcimer
n03254862	dulcimer
n03255030	dumbbell
n03255167	dumb bomb, gravity bomb
n03255322	dumbwaiter, food elevator
n03255488	dumdum, dumdum bullet
n03255899	dumpcart
n03256032	Dumpster
n03256166	dump truck, dumper, tipper truck, tipper lorry, tip truck, tipper
n03256472	Dumpy level
n03256631	dunce cap, dunce's cap, fool's cap
n03256788	dune buggy, beach buggy
n03256928	dungeon
n03257065	duplex apartment, duplex
n03257210	duplex house, duplex, semidetached house
n03257586	duplicator, copier
n03258192	dust bag, vacuum bag
n03258330	dustcloth, dustrag, duster
n03258456	dust cover
n03258577	dust cover, dust sheet
n03258905	dustmop, dust mop, dry mop
n03259009	dustpan
n03259280	Dutch oven
n03259401	Dutch oven
n03259505	dwelling, home, domicile, abode, habitation, dwelling house
n03260206	dye-works
n03260504	dynamo
n03260733	dynamometer, ergometer
n03260849	Eames chair
n03261019	earflap, earlap
n03261263	early warning radar
n03261395	early warning system
n03261603	earmuff
n03261776	earphone, earpiece, headphone, phone
n03262072	earplug
n03262248	earplug
n03262519	earthenware
n03262717	earthwork
n03262809	easel
n03262932	easy chair, lounge chair, overstuffed chair
n03263076	eaves
n03263338	ecclesiastical attire, ecclesiastical robe
n03263640	echinus
n03263758	echocardiograph
n03264906	edger
n03265032	edge tool
n03265754	efficiency apartment
n03266195	egg-and-dart, egg-and-anchor, egg-and-tongue
n03266371	eggbeater, eggwhisk
n03266620	egg timer
n03266749	eiderdown, duvet, continental quilt
n03267113	eight ball
n03267468	ejection seat, ejector seat, capsule
n03267696	elastic
n03267821	elastic bandage
n03268142	Elastoplast
n03268311	elbow
n03268645	elbow pad
n03268790	electric, electric automobile, electric car
n03268918	electrical cable
n03269073	electrical contact
n03269203	electrical converter
n03269401	electrical device
n03270165	electrical system
n03270695	electric bell
n03270854	electric blanket
n03271030	electric chair, chair, death chair, hot seat
n03271260	electric clock
n03271376	electric-discharge lamp, gas-discharge lamp
n03271574	electric fan, blower
n03271765	electric frying pan
n03271865	electric furnace
n03272010	electric guitar
n03272125	electric hammer
n03272239	electric heater, electric fire
n03272383	electric lamp
n03272562	electric locomotive
n03272810	electric meter, power meter
n03272940	electric mixer
n03273061	electric motor
n03273551	electric organ, electronic organ, Hammond organ, organ
n03273740	electric range
n03273913	electric refrigerator, fridge
n03274265	electric toothbrush
n03274435	electric typewriter
n03274561	electro-acoustic transducer
n03274796	electrode
n03275125	electrodynamometer
n03275311	electroencephalograph
n03275566	electrograph
n03275681	electrolytic, electrolytic capacitor, electrolytic condenser
n03275864	electrolytic cell
n03276179	electromagnet
n03276696	electrometer
n03276839	electromyograph
n03277004	electron accelerator
n03277149	electron gun
n03277459	electronic balance
n03277602	electronic converter
n03277771	electronic device
n03278248	electronic equipment
n03278914	electronic fetal monitor, electronic foetal monitor, fetal monitor, foetal monitor
n03279153	electronic instrument, electronic musical instrument
n03279364	electronic voltmeter
n03279508	electron microscope
n03279804	electron multiplier
n03279918	electrophorus
n03280216	electroscope
n03280394	electrostatic generator, electrostatic machine, Wimshurst machine, Van de Graaff generator
n03280644	electrostatic printer
n03281145	elevator, lift
n03281524	elevator
n03281673	elevator shaft
n03282060	embankment
n03282295	embassy
n03282401	embellishment
n03283221	emergency room, ER
n03283413	emesis basin
n03283827	emitter
n03284308	empty
n03284482	emulsion, photographic emulsion
n03284743	enamel
n03284886	enamel
n03284981	enamelware
n03285578	encaustic
n03285730	encephalogram, pneumoencephalogram
n03285912	enclosure
n03286572	endoscope
n03287351	energizer, energiser
n03287733	engine
n03288003	engine
n03288500	engineering, engine room
n03288643	enginery
n03288742	English horn, cor anglais
n03288886	English saddle, English cavalry saddle
n03289660	enlarger
n03289985	ensemble
n03290096	ensign
n03290195	entablature
n03290653	entertainment center
n03291413	entrenching tool, trenching spade
n03291551	entrenchment, intrenchment
n03291741	envelope
n03291819	envelope
n03291963	envelope, gasbag
n03292085	eolith
n03292362	epauliere
n03292475	epee
n03292603	epergne
n03292736	epicyclic train, epicyclic gear train
n03292960	epidiascope
n03293095	epilating wax
n03293741	equalizer, equaliser
n03293863	equatorial
n03294048	equipment
n03294604	erasable programmable read-only memory, EPROM
n03294833	eraser
n03295012	erecting prism
n03295140	erection
n03295246	Erlenmeyer flask
n03295928	escape hatch
n03296081	escapement
n03296217	escape wheel
n03296328	escarpment, escarp, scarp, protective embankment
n03296478	escutcheon, scutcheon
n03296963	esophagoscope, oesophagoscope
n03297103	espadrille
n03297226	espalier
n03297495	espresso maker
n03297644	espresso shop
n03297735	establishment
n03298089	estaminet
n03298352	estradiol patch
n03298716	etagere
n03298858	etamine, etamin
n03299406	etching
n03300216	ethernet
n03300443	ethernet cable
n03301175	Eton jacket
n03301291	etui
n03301389	eudiometer
n03301568	euphonium
n03301833	evaporative cooler
n03301940	evening bag
n03302671	exercise bike, exercycle
n03302790	exercise device
n03302938	exhaust, exhaust system
n03303217	exhaust fan
n03303669	exhaust valve
n03303831	exhibition hall, exhibition area
n03304197	Exocet
n03304323	expansion bit, expansive bit
n03304465	expansion bolt
n03305300	explosive detection system, EDS
n03305522	explosive device
n03305953	explosive trace detection, ETD
n03306385	express, limited
n03306869	extension, telephone extension, extension phone
n03307037	extension cord
n03307573	external-combustion engine
n03307792	external drive
n03308152	extractor
n03308481	eyebrow pencil
n03308614	eyecup, eyebath, eye cup
n03309110	eyeliner
n03309356	eyepatch, patch
n03309465	eyepiece, ocular
n03309687	eyeshadow
n03309808	fabric, cloth, material, textile
n03313333	facade, frontage, frontal
n03314227	face guard
n03314378	face mask
n03314608	faceplate
n03314780	face powder
n03314884	face veil
n03315644	facing, cladding
n03315805	facing
n03315990	facing, veneer
n03316105	facsimile, facsimile machine, fax
n03316406	factory, mill, manufacturing plant, manufactory
n03316873	factory ship
n03317233	fagot, faggot
n03317510	fagot stitch, faggot stitch
n03317673	Fahrenheit thermometer
n03317788	faience
n03317889	faille
n03318136	fairlead
n03318294	fairy light
n03318865	falchion
n03318983	fallboard, fall-board
n03319167	fallout shelter
n03319457	false face
n03319576	false teeth
n03319745	family room
n03320046	fan
n03320262	fan belt
n03320421	fan blade
n03320519	fancy dress, masquerade, masquerade costume
n03320845	fanion
n03320959	fanlight
n03321103	fanjet, fan-jet, fanjet engine, turbojet, turbojet engine, turbofan, turbofan engine
n03321419	fanjet, fan-jet, turbofan, turbojet
n03321563	fanny pack, butt pack
n03321843	fan tracery
n03321954	fan vaulting
n03322570	farm building
n03322704	farmer's market, green market, greenmarket
n03322836	farmhouse
n03322940	farm machine
n03323096	farmplace, farm-place, farmstead
n03323211	farmyard
n03323319	farthingale
n03323703	fastener, fastening, holdfast, fixing
n03324629	fast reactor
n03324814	fat farm
n03324928	fatigues
n03325088	faucet, spigot
n03325288	fauld
n03325403	fauteuil
n03325584	feather boa, boa
n03325691	featheredge
n03325941	fedora, felt hat, homburg, Stetson, trilby
n03326073	feedback circuit, feedback loop
n03326371	feedlot
n03326475	fell, felled seam
n03326660	felloe, felly
n03326795	felt
n03326948	felt-tip pen, felt-tipped pen, felt tip, Magic Marker
n03327133	felucca
n03327234	fence, fencing
n03327553	fencing mask, fencer's mask
n03327691	fencing sword
n03327841	fender, wing
n03328201	fender, buffer, cowcatcher, pilot
n03329302	Ferris wheel
n03329536	ferrule, collet
n03329663	ferry, ferryboat
n03330002	ferule
n03330665	festoon
n03330792	fetoscope, foetoscope
n03330947	fetter, hobble
n03331077	fez, tarboosh
n03331244	fiber, fibre, vulcanized fiber
n03331599	fiber optic cable, fibre optic cable
n03332005	fiberscope
n03332173	fichu
n03332271	fiddlestick, violin bow
n03332393	field artillery, field gun
n03332591	field coil, field winding
n03332784	field-effect transistor, FET
n03332989	field-emission microscope
n03333129	field glass, glass, spyglass
n03333252	field hockey ball
n03333349	field hospital
n03333610	field house, sports arena
n03333711	field lens
n03333851	field magnet
n03334017	field-sequential color television, field-sequential color TV, field-sequential color television system, field-sequential color TV system
n03334291	field tent
n03334382	fieldwork
n03334492	fife
n03334912	fifth wheel, spare
n03335030	fighter, fighter aircraft, attack aircraft
n03335333	fighting chair
n03335461	fig leaf
n03335846	figure eight, figure of eight
n03336168	figure loom, figured-fabric loom
n03336282	figure skate
n03336575	filament
n03336742	filature
n03336839	file
n03337140	file, file cabinet, filing cabinet
n03337383	file folder
n03337494	file server
n03337822	filigree, filagree, fillagree
n03338287	filling
n03338821	film, photographic film
n03339296	film, plastic film
n03339529	film advance
n03339643	filter
n03340009	filter
n03340723	finder, viewfinder, view finder
n03340923	finery
n03341035	fine-tooth comb, fine-toothed comb
n03341153	finger
n03341297	fingerboard
n03341606	finger bowl
n03342015	finger paint, fingerpaint
n03342127	finger-painting
n03342262	finger plate, escutcheon, scutcheon
n03342432	fingerstall, cot
n03342657	finish coat, finishing coat
n03342863	finish coat, finishing coat
n03342961	finisher
n03343047	fin keel
n03343234	fipple
n03343354	fipple flute, fipple pipe, recorder, vertical flute
n03343560	fire
n03343737	fire alarm, smoke alarm
n03343853	firearm, piece, small-arm
n03344305	fire bell
n03344393	fireboat
n03344509	firebox
n03344642	firebrick
n03344784	fire control radar
n03344935	fire control system
n03345487	fire engine, fire truck
n03345837	fire extinguisher, extinguisher, asphyxiator
n03346135	fire iron
n03346289	fireman's ax, fireman's axe
n03346455	fireplace, hearth, open fireplace
n03347037	fire screen, fireguard
n03347472	fire tongs, coal tongs
n03347617	fire tower
n03348142	firewall
n03348868	firing chamber, gun chamber
n03349020	firing pin
n03349296	firkin
n03349367	firmer chisel
n03349469	first-aid kit
n03349599	first-aid station
n03349771	first base
n03349892	first class
n03350204	fishbowl, fish bowl, goldfish bowl
n03350352	fisherman's bend
n03350456	fisherman's knot, true lover's knot, truelove knot
n03350602	fisherman's lure, fish lure
n03351151	fishhook
n03351262	fishing boat, fishing smack, fishing vessel
n03351434	fishing gear, tackle, fishing tackle, fishing rig, rig
n03351979	fishing rod, fishing pole
n03352232	fish joint
n03352366	fish knife
n03352628	fishnet, fishing net
n03352961	fish slice
n03353281	fitment
n03353951	fixative
n03354207	fixer-upper
n03354903	flag
n03355468	flageolet, treble recorder, shepherd's pipe
n03355768	flagon
n03355925	flagpole, flagstaff
n03356038	flagship
n03356279	flail
n03356446	flambeau
n03356559	flamethrower
n03356858	flange, rim
n03356982	flannel
n03357081	flannel, gabardine, tweed, white
n03357267	flannelette
n03357716	flap, flaps
n03358172	flash, photoflash, flash lamp, flashgun, flashbulb, flash bulb
n03358380	flash
n03358726	flash camera
n03358841	flasher
n03359137	flashlight, torch
n03359285	flashlight battery
n03359436	flash memory
n03359566	flask
n03360133	flat arch, straight arch
n03360300	flatbed
n03360431	flatbed press, cylinder press
n03360622	flat bench
n03360731	flatcar, flatbed, flat
n03361109	flat file
n03361297	flatlet
n03361380	flat panel display, FPD
n03361550	flats
n03361683	flat tip screwdriver
n03362639	fleece
n03362771	fleet ballistic missile submarine
n03362890	fleur-de-lis, fleur-de-lys
n03363363	flight simulator, trainer
n03363549	flintlock
n03363749	flintlock, firelock
n03364008	flip-flop, thong
n03364156	flipper, fin
n03364599	float, plasterer's float
n03364937	floating dock, floating dry dock
n03365231	floatplane, pontoon plane
n03365374	flood, floodlight, flood lamp, photoflood
n03365592	floor, flooring
n03365991	floor, level, storey, story
n03366464	floor
n03366721	floorboard
n03366823	floor cover, floor covering
n03366974	floor joist
n03367059	floor lamp
n03367321	flophouse, dosshouse
n03367410	florist, florist shop, flower store
n03367545	floss
n03367875	flotsam, jetsam
n03367969	flour bin
n03368048	flour mill
n03368352	flowerbed, flower bed, bed of flowers
n03369276	flugelhorn, fluegelhorn
n03369407	fluid drive
n03369512	fluid flywheel
n03369866	flume
n03370387	fluorescent lamp
n03370646	fluoroscope, roentgenoscope
n03371875	flush toilet, lavatory
n03372029	flute, transverse flute
n03372549	flute, flute glass, champagne flute
n03372822	flux applicator
n03372933	fluxmeter
n03373237	fly
n03373611	flying boat
n03373943	flying buttress, arc-boutant
n03374102	flying carpet
n03374282	flying jib
n03374372	fly rod
n03374473	fly tent
n03374570	flytrap
n03374649	flywheel
n03374838	fob, watch chain, watch guard
n03375171	foghorn
n03375329	foglamp
n03375575	foil
n03376159	fold, sheepfold, sheep pen, sheepcote
n03376279	folder
n03376595	folding chair
n03376771	folding door, accordion door
n03376938	folding saw
n03378005	food court
n03378174	food processor
n03378342	food hamper
n03378442	foot
n03378593	footage
n03378765	football
n03379051	football helmet
n03379204	football stadium
n03379343	footbath
n03379719	foot brake
n03379828	footbridge, overcrossing, pedestrian bridge
n03379989	foothold, footing
n03380301	footlocker, locker
n03380647	foot rule
n03380724	footstool, footrest, ottoman, tuffet
n03380867	footwear, footgear
n03381126	footwear
n03381231	forceps
n03381450	force pump
n03381565	fore-and-after
n03381776	fore-and-aft sail
n03382104	forecastle, fo'c'sle
n03382292	forecourt
n03382413	foredeck
n03382533	fore edge, foredge
n03382708	foreground
n03382856	foremast
n03382969	fore plane
n03383099	foresail
n03383211	forestay
n03383378	foretop
n03383468	fore-topmast
n03383562	fore-topsail
n03383821	forge
n03384167	fork
n03384352	forklift
n03384891	formalwear, eveningwear, evening dress, evening clothes
n03385295	Formica
n03385557	fortification, munition
n03386011	fortress, fort
n03386343	forty-five
n03386544	Foucault pendulum
n03386726	foulard
n03386870	foul-weather gear
n03387323	foundation garment, foundation
n03387653	foundry, metalworks
n03388043	fountain
n03388183	fountain pen
n03388323	four-in-hand
n03388549	four-poster
n03388711	four-pounder
n03388990	four-stroke engine, four-stroke internal-combustion engine
n03389611	four-wheel drive, 4WD
n03389761	four-wheel drive, 4WD
n03389889	four-wheeler
n03389983	fowling piece
n03390075	foxhole, fox hole
n03390327	fragmentation bomb, antipersonnel bomb, anti-personnel bomb, daisy cutter
n03390673	frail
n03390786	fraise
n03390983	frame, framing
n03391301	frame
n03391613	frame buffer
n03391770	framework
n03392648	Francis turbine
n03392741	franking machine
n03393017	free house
n03393199	free-reed
n03393324	free-reed instrument
n03393761	freewheel
n03393912	freight car
n03394149	freight elevator, service elevator
n03394272	freight liner, liner train
n03394480	freight train, rattler
n03394649	French door
n03394916	French horn, horn
n03395256	French polish, French polish shellac
n03395401	French roof
n03395514	French window
n03395859	Fresnel lens
n03396074	fret
n03396580	friary
n03396654	friction clutch
n03396997	frieze
n03397087	frieze
n03397266	frigate
n03397412	frigate
n03397532	frill, flounce, ruffle, furbelow
n03397947	Frisbee
n03398153	frock
n03398228	frock coat
n03399579	frontlet, frontal
n03399677	front porch
n03399761	front projector
n03399971	fruit machine
n03400231	frying pan, frypan, skillet
n03400972	fuel filter
n03401129	fuel gauge, fuel indicator
n03401279	fuel injection, fuel injection system
n03401721	fuel system
n03402188	full-dress uniform
n03402369	full metal jacket
n03402511	full skirt
n03402785	fumigator
n03402941	funeral home, funeral parlor, funeral parlour, funeral chapel, funeral church, funeral-residence
n03403643	funnel
n03404012	funny wagon
n03404149	fur
n03404251	fur coat
n03404360	fur hat
n03404449	furnace
n03404900	furnace lining, refractory
n03405111	furnace room
n03405265	furnishing
n03405595	furnishing, trappings
n03405725	furniture, piece of furniture, article of furniture
n03406759	fur-piece
n03406966	furrow
n03407369	fuse, electrical fuse, safety fuse
n03407865	fusee drive, fusee
n03408054	fuselage
n03408264	fusil
n03408340	fustian
n03408444	futon
n03409297	gabardine
n03409393	gable, gable end, gable wall
n03409591	gable roof, saddle roof, saddleback, saddleback roof
n03409920	gadgetry
n03410022	gaff
n03410147	gaff
n03410303	gaff
n03410423	gaffsail, gaff-headed sail
n03410571	gaff topsail, fore-and-aft topsail
n03410740	gag, muzzle
n03410938	gaiter
n03411079	gaiter
n03411208	Galilean telescope
n03411339	galleon
n03411927	gallery
n03412058	gallery, art gallery, picture gallery
n03412220	galley, ship's galley, caboose, cookhouse
n03412387	galley
n03412511	galley
n03412906	gallows
n03413124	gallows tree, gallows-tree, gibbet, gallous
n03413264	galvanometer
